"covariate","ace_score_01","ace_score_02","ace_score_03","ace_score_04"
"Overall","1.33 (1.26, 1.41)","1.77 (1.67, 1.88)","2.33 (2.19, 2.49)","3.73 (3.57, 3.9)"
"Female","1.35 (1.26, 1.45)","1.79 (1.65, 1.94)","2.34 (2.15, 2.54)","3.8 (3.59, 4.03)"
"Male","1.31 (1.21, 1.43)","1.76 (1.61, 1.94)","2.32 (2.1, 2.57)","3.5 (3.25, 3.77)"
"18-39","1.5 (1.29, 1.75)","2.42 (2.08, 2.81)","3.02 (2.59, 3.53)","4.98 (4.41, 5.63)"
"40-49","1.29 (1.08, 1.55)","1.61 (1.32, 1.97)","2.35 (1.93, 2.86)","4.19 (3.63, 4.82)"
"50-59","1.54 (1.35, 1.76)","1.9 (1.65, 2.19)","2.38 (2.06, 2.75)","4.25 (3.82, 4.72)"
"60-69","1.33 (1.18, 1.49)","1.75 (1.54, 1.99)","2.35 (2.06, 2.69)","3.5 (3.17, 3.87)"
"70-79","1.39 (1.23, 1.57)","1.69 (1.46, 1.95)","2.45 (2.09, 2.86)","2.96 (2.59, 3.38)"
"80+","1.14 (0.99, 1.32)","1.57 (1.31, 1.88)","1.87 (1.49, 2.35)","2 (1.58, 2.52)"
"White only, non-Hispanic","1.36 (1.27, 1.46)","1.85 (1.72, 2)","2.43 (2.25, 2.63)","3.98 (3.77, 4.2)"
"Black only, non-Hispanic","1.26 (1.12, 1.42)","1.47 (1.28, 1.7)","1.91 (1.64, 2.21)","2.87 (2.57, 3.2)"
"Other, non-Hispanic","1.14 (0.86, 1.52)","1.55 (1.16, 2.09)","2.11 (1.58, 2.82)","3.04 (2.45, 3.78)"
"American Indian or Alaskan Native only, non-Hispanic","0.9 (0.51, 1.59)","1.87 (1.13, 3.11)","2.26 (1.37, 3.72)","2.93 (2, 4.31)"
"Multiracial, non-Hispanic","1.13 (0.76, 1.69)","1.41 (0.93, 2.13)","2.05 (1.39, 3.04)","2.79 (2.05, 3.79)"
"Other race only, non-Hispanic","1.56 (0.83, 2.95)","1.51 (0.72, 3.17)","1.65 (0.69, 3.96)","3.96 (2.36, 6.64)"
"Asian or Pacific Islander, non-Hispanic","1.25 (0.58, 2.68)","3.09 (1.46, 6.56)","3.15 (1.36, 7.33)","7.71 (4.26, 13.93)"
"Asian only, non-Hispanic","1.26 (0.53, 2.95)","3.4 (1.47, 7.87)","3.78 (1.51, 9.46)","10.02 (5.3, 18.95)"
"Native Hawaiian or other Pacific Islander only, non-Hispanic","0.8 (0.15, 4.33)","1 (0.19, 5.33)","0.67 (0.08, 5.75)","0.94 (0.18, 5.04)"
"Hispanic","1.2 (0.98, 1.48)","1.69 (1.35, 2.11)","2.44 (1.96, 3.04)","3.34 (2.83, 3.94)"
"<$20K","1.42 (1.22, 1.65)","1.62 (1.37, 1.91)","2.05 (1.74, 2.42)","2.99 (2.65, 3.37)"
"$20-35K","1.05 (0.94, 1.18)","1.57 (1.4, 1.76)","1.84 (1.63, 2.08)","2.67 (2.45, 2.91)"
"$35-50K","1.31 (1.14, 1.5)","1.58 (1.35, 1.84)","2.16 (1.84, 2.53)","2.91 (2.6, 3.27)"
"$50-75K","1.3 (1.1, 1.54)","1.79 (1.49, 2.15)","2.04 (1.67, 2.49)","3.33 (2.89, 3.85)"
"$75-100K","1.71 (1.41, 2.06)","2.46 (2.02, 3.01)","3.12 (2.53, 3.84)","4.75 (4.03, 5.59)"
"$100K+","1.28 (1.03, 1.59)","1.8 (1.42, 2.28)","2.53 (1.97, 3.24)","4.1 (3.4, 4.94)"
"Did not graduate high school","1.11 (0.98, 1.25)","1.43 (1.25, 1.63)","1.83 (1.6, 2.1)","2.53 (2.31, 2.78)"
"High school graduate","1.26 (1.15, 1.38)","1.71 (1.54, 1.89)","2.15 (1.93, 2.38)","3.15 (2.92, 3.39)"
"Some college","1.41 (1.27, 1.58)","1.87 (1.66, 2.1)","2.43 (2.16, 2.75)","3.93 (3.6, 4.29)"
"College graduate","1.5 (1.31, 1.7)","2.08 (1.8, 2.39)","2.82 (2.42, 3.28)","4.79 (4.29, 5.36)"
"Not employed","1.36 (1.28, 1.44)","1.78 (1.66, 1.9)","2.41 (2.25, 2.59)","3.7 (3.52, 3.89)"
"Employed","1.5 (1.32, 1.7)","2.3 (2.02, 2.62)","2.88 (2.51, 3.3)","5.31 (4.8, 5.87)"
"0 days","1.17 (1.07, 1.28)","1.42 (1.27, 1.59)","1.69 (1.48, 1.92)","2.51 (2.29, 2.75)"
"1-14 days","1.13 (1.01, 1.27)","1.41 (1.25, 1.59)","1.66 (1.47, 1.89)","2.31 (2.1, 2.54)"
"14+ days","1.18 (1.09, 1.29)","1.26 (1.15, 1.37)","1.47 (1.35, 1.61)","1.79 (1.67, 1.91)"
"No","1.25 (1.07, 1.47)","1.46 (1.22, 1.75)","2.34 (1.99, 2.76)","3.28 (2.9, 3.72)"
"Yes","1.33 (1.26, 1.41)","1.8 (1.69, 1.92)","2.26 (2.11, 2.43)","3.69 (3.51, 3.88)"
