"covariate","0","1","2","3","4+","total","PR","PR","PR","PR"
"Yes",6.3,8.7,12.3,15.2,25.8,NA,"1.33 (1.26, 1.41)","1.77 (1.67, 1.88)","2.33 (2.19, 2.49)","3.73 (3.57, 3.9)"
"Female",6.7,9.4,13.2,16,28.4,13.9,"1.35 (1.26, 1.45)","1.79 (1.65, 1.94)","2.34 (2.15, 2.54)","3.8 (3.59, 4.03)"
"Male",5.9,8,11.4,14.2,22.1,10.7,"1.31 (1.21, 1.43)","1.76 (1.61, 1.94)","2.32 (2.1, 2.57)","3.5 (3.25, 3.77)"
"18-39",5.6,8.2,13.2,15.8,27.5,13.9,"1.5 (1.29, 1.75)","2.42 (2.08, 2.81)","3.02 (2.59, 3.53)","4.98 (4.41, 5.63)"
"40-49",5.3,7.9,9.4,13.6,23.1,11.9,"1.29 (1.08, 1.55)","1.61 (1.32, 1.97)","2.35 (1.93, 2.86)","4.19 (3.63, 4.82)"
"50-59",6.2,8.9,13.5,15.8,27.9,12.8,"1.54 (1.35, 1.76)","1.9 (1.65, 2.19)","2.38 (2.06, 2.75)","4.25 (3.82, 4.72)"
"60-69",6.2,9,11.6,15.2,24.9,10.9,"1.33 (1.18, 1.49)","1.75 (1.54, 1.99)","2.35 (2.06, 2.69)","3.5 (3.17, 3.87)"
"70-79",6.6,9.9,11.9,14.9,18.2,10.1,"1.39 (1.23, 1.57)","1.69 (1.46, 1.95)","2.45 (2.09, 2.86)","2.96 (2.59, 3.38)"
"80+",10.9,10.5,11.9,14.4,19.9,12,"1.14 (0.99, 1.32)","1.57 (1.31, 1.88)","1.87 (1.49, 2.35)","2 (1.58, 2.52)"
"White only, non-Hispanic",6.4,8.6,12,15.9,26.1,12.1,"1.36 (1.27, 1.46)","1.85 (1.72, 2)","2.43 (2.25, 2.63)","3.98 (3.77, 4.2)"
"Black only, non-Hispanic",7.4,8.6,13,14.7,22.9,12.6,"1.26 (1.12, 1.42)","1.47 (1.28, 1.7)","1.91 (1.64, 2.21)","2.87 (2.57, 3.2)"
"Other, non-Hispanic",9,13.3,15.6,21.9,35.5,21.6,"1.14 (0.86, 1.52)","1.55 (1.16, 2.09)","2.11 (1.58, 2.82)","3.04 (2.45, 3.78)"
"Asian or Pacific Islander, non-Hispanic",2.6,4.2,11.6,11.5,21,5.3,"1.25 (0.58, 2.68)","3.09 (1.46, 6.56)","3.15 (1.36, 7.33)","7.71 (4.26, 13.93)"
"Hispanic",5.8,9.1,12.3,13,26.2,13,"1.2 (0.98, 1.48)","1.69 (1.35, 2.11)","2.44 (1.96, 3.04)","3.34 (2.83, 3.94)"
"<$20K",11.5,15.8,23.7,28.2,41.1,24.5,"1.42 (1.22, 1.65)","1.62 (1.37, 1.91)","2.05 (1.74, 2.42)","2.99 (2.65, 3.37)"
"$20-35K",12.1,12.4,16.7,21.4,36.6,19.4,"1.05 (0.94, 1.18)","1.57 (1.4, 1.76)","1.84 (1.63, 2.08)","2.67 (2.45, 2.91)"
"$35-50K",7.6,10.6,13,14.9,25.8,13.7,"1.31 (1.14, 1.5)","1.58 (1.35, 1.84)","2.16 (1.84, 2.53)","2.91 (2.6, 3.27)"
"$50-75K",4.9,7.2,10.9,10.3,18.7,9.6,"1.3 (1.1, 1.54)","1.79 (1.49, 2.15)","2.04 (1.67, 2.49)","3.33 (2.89, 3.85)"
"$75-100K",2.3,4.9,7.1,8.8,15.5,7,"1.71 (1.41, 2.06)","2.46 (2.02, 3.01)","3.12 (2.53, 3.84)","4.75 (4.03, 5.59)"
"$100K+",2,2.9,5.7,6.5,12.1,4.5,"1.28 (1.03, 1.59)","1.8 (1.42, 2.28)","2.53 (1.97, 3.24)","4.1 (3.4, 4.94)"
"Did not graduate high school",13.9,12.9,22.4,27.4,38.3,22,"1.11 (0.98, 1.25)","1.43 (1.25, 1.63)","1.83 (1.6, 2.1)","2.53 (2.31, 2.78)"
"High school graduate",7.1,11.8,15.7,18.7,28.5,14.8,"1.26 (1.15, 1.38)","1.71 (1.54, 1.89)","2.15 (1.93, 2.38)","3.15 (2.92, 3.39)"
"Some college",6.1,7.8,10.9,13.2,24.2,11.9,"1.41 (1.27, 1.58)","1.87 (1.66, 2.1)","2.43 (2.16, 2.75)","3.93 (3.6, 4.29)"
"College graduate",2.6,4,5.6,7.4,14.6,5.5,"1.5 (1.31, 1.7)","2.08 (1.8, 2.39)","2.82 (2.42, 3.28)","4.79 (4.29, 5.36)"
"Not employed",9.5,12.6,17.3,23.5,36.6,17.4,"1.36 (1.28, 1.44)","1.78 (1.66, 1.9)","1.36 (1.28, 1.44)","3.7 (3.52, 3.89)"
"Employed",3.1,5.4,8.5,8.6,17.8,8.2,"1.5 (1.32, 1.7)","2.3 (2.02, 2.62)","1.5 (1.32, 1.7)","5.31 (4.8, 5.87)"
"0 days",3.5,4.3,5.7,6,10.6,5,"1.17 (1.07, 1.28)","1.42 (1.27, 1.59)","1.69 (1.48, 1.92)","2.51 (2.29, 2.75)"
"1-14 days",8.6,10.3,13.3,15.4,22.1,14.2,"1.13 (1.01, 1.27)","1.41 (1.25, 1.59)","1.66 (1.47, 1.89)","2.31 (2.1, 2.54)"
"14+ days",27.6,32.4,34.8,41,51,40.5,"1.18 (1.09, 1.29)","1.26 (1.15, 1.37)","1.47 (1.35, 1.61)","1.79 (1.67, 1.91)"
"No",9,11.2,13.1,16.2,30.1,17,"1.25 (1.07, 1.47)","1.46 (1.22, 1.75)","2.34 (1.99, 2.76)","3.28 (2.9, 3.72)"
"Yes",6,8.2,12.2,14.5,24.6,11.4,"1.33 (1.26, 1.41)","1.8 (1.69, 1.92)","2.26 (2.11, 2.43)","3.69 (3.51, 3.88)"
